CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Street,Supervisor District,Neighborhood,Police District,Latitude,Longitude,Point,Source,Media URL
11914612,01/08/2020 04:49:02 AM,01/09/2020 06:00:14 AM,01/09/2020 06:00:14 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"316 LAWTON ST, SAN FRANCISCO, CA, 94122",LAWTON ST,7,Inner Sunset,TARAVAL,37.75855255127,-122.466285705566,"(37.75855255, -122.46628571)",Web,
9209249,06/30/2018 08:35:38 PM,06/30/2018 09:07:00 PM,06/30/2018 09:07:00 PM,Closed,Comment Noted - Please report to SFPD by calling 415-553-0123,311 Supervisor Queue,Noise Report,Noise Issue,Other,"601 CLAYTON ST, SAN FRANCISCO, CA, 94117",CLAYTON ST,5,Haight Ashbury,PARK,37.769656750688,-122.448758482933,"(37.76965675, -122.44875848)",Mobile/Open311,
9209125,06/30/2018 07:36:58 PM,06/30/2018 07:46:00 PM,06/30/2018 07:46:00 PM,Closed,Comment Noted - Please contact Non Emergency police for enforcement. 415-553-0123,311 Supervisor Queue,Noise Report,Noise Issue,Other,"390 FRANCONIA ST, SAN FRANCISCO, CA, 94110",FRANCONIA ST,9,Peralta Heights,INGLESIDE,37.7437682,-122.4082804,"(37.7437682, -122.4082804)",Web,
9209119,06/30/2018 07:33:19 PM,06/30/2018 08:11:00 PM,06/30/2018 08:11:00 PM,Closed,Comment Noted - sent email to customer.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"958 QUINTARA ST, SAN FRANCISCO, CA, 94116",QUINTARA ST,7,Golden Gate Heights,TARAVAL,37.74865,-122.47563,"(37.74865, -122.47563)",Mobile/Open311,
9209062,06/30/2018 07:05:43 PM,06/30/2018 07:14:00 PM,06/30/2018 07:14:00 PM,Closed,Comment Noted,311 Supervisor Queue,Noise Report,Noise Issue,Other,"24 THOR AVE, SAN FRANCISCO, CA, 94131",THOR AVE,8,Glen Park,INGLESIDE,37.735414034722,-122.434687949831,"(37.73541403, -122.43468795)",Mobile/Open311,
11919135,01/08/2020 09:08:05 PM,01/09/2020 06:00:14 AM,01/09/2020 06:00:14 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"1017 CAPITOL AVE, SAN FRANCISCO, CA, 94112",CAPITOL AVE,11,Ingleside,TARAVAL,37.720413208008,-122.459335327148,"(37.72041321, -122.45933533)",Web,
11919214,01/08/2020 10:03:04 PM,01/09/2020 06:00:15 AM,01/09/2020 06:00:15 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"4226 IRVING ST, SAN FRANCISCO, CA, 94122",IRVING ST,4,Outer Sunset,TARAVAL,37.76252746582,-122.503387451172,"(37.76252747, -122.50338745)",Web,
11940532,01/13/2020 05:12:00 PM,01/22/2020 09:36:23 AM,01/22/2020 09:36:23 AM,Closed,Agencies responded to request and no encampment in area. Area verified clean.,HSOC Queue,Noise Report,Noise Issue,Other,"1051 FOLSOM ST, SAN FRANCISCO, CA, 94103",FOLSOM ST,6,South of Market,SOUTHERN,37.77753333,-122.40644167,"(37.77753333, -122.40644167)",Mobile/Open311,
11923698,01/09/2020 08:36:59 PM,01/09/2020 08:47:00 PM,01/09/2020 08:47:00 PM,Closed,Case is Invalid - This is not a noise report 311 can take.  Please contact the non-emergency line of SFPD at (415) 553-0123,311 Supervisor Queue,Noise Report,Noise Issue,Other,"17 CURTIS ST, SAN FRANCISCO, CA, 94112",CURTIS ST,11,Crocker Amazon,INGLESIDE,37.714582810105,-122.439914265849,"(37.71458281, -122.43991427)",Mobile/Open311,
6679516,12/31/2016 10:18:20 PM,12/31/2016 11:05:42 PM,12/31/2016 11:05:42 PM,Closed,Case is Invalid,311 Supervisor Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"1626 PALOU AVE, SAN FRANCISCO, CA, 94124",PALOU AVE,10,Silver Terrace,BAYVIEW,37.734486638314,-122.391496024942,"(37.73448664, -122.39149602)",Mobile/Open311,
11929942,01/11/2020 10:30:39 AM,01/11/2020 10:32:00 AM,01/11/2020 10:32:00 AM,Closed,Case is Invalid - Contact Non Emergency Police at 415-553-0123 for this issue.,311 Supervisor Queue,Noise Report,Noise Issue,Other,Intersection of TURK ST and HYDE ST,TURK ST,6,Tenderloin,TENDERLOIN,37.782620824839,-122.415664227277,"(37.78262082, -122.41566423)",Mobile/Open311,
12040400,02/05/2020 02:14:00 AM,02/06/2020 06:00:02 AM,02/06/2020 06:00:02 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"187 EDDY ST, SAN FRANCISCO, CA, 94102",EDDY ST,6,Tenderloin,TENDERLOIN,37.78427244,-122.41063256,"(37.78427244, -122.41063256)",Mobile/Open311,
11886763,01/01/2020 08:51:08 PM,01/01/2020 09:08:00 PM,01/01/2020 09:08:00 PM,Closed,Case is Invalid - what is the noise issue? please be more specific so we can send the request to the proper agency,311 Supervisor Queue,Noise Report,Noise Issue,Other,"40 THE EMBARCADERO, SAN FRANCISCO, CA, 94105",THE EMBARCADERO,6,South Beach,SOUTHERN,37.7868636,-122.38574032,"(37.7868636, -122.38574032)",Mobile/Open311,
11888152,01/02/2020 09:52:00 AM,,01/02/2020 10:01:42 AM,Open,open,MUNI Work Queue,Noise Report,Noise Issue,Other,"388 POTRERO AVE, SAN FRANCISCO, CA, 94103",POTRERO AVE,10,Mission,MISSION,37.7647333,-122.4075085,"(37.7647333, -122.4075085)",Mobile/Open311,
12043379,02/05/2020 02:35:00 PM,02/06/2020 06:00:02 AM,02/06/2020 06:00:02 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"1411 MARKET ST, SAN FRANCISCO, CA, 94103",MARKET ST,6,South of Market,TENDERLOIN,37.775819,-122.417239,"(37.775819, -122.417239)",Web,
11974694,01/21/2020 03:02:18 PM,01/22/2020 06:00:54 AM,01/22/2020 06:00:54 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"1973 SAN JOSE AVE, SAN FRANCISCO, CA, 94112",SAN JOSE AVE,11,Mission Terrace,INGLESIDE,37.725437164307,-122.44246673584,"(37.72543716, -122.44246674)",Web,
11975965,01/21/2020 10:48:05 PM,01/22/2020 06:00:54 AM,01/22/2020 06:00:54 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"1520 45TH AVE, SAN FRANCISCO, CA, 94122",45TH AVE,4,Outer Sunset,TARAVAL,37.758197784424,-122.504539489746,"(37.75819778, -122.50453949)",Web,
12045083,02/05/2020 11:13:00 PM,02/06/2020 06:00:02 AM,02/06/2020 06:00:02 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"10 HEMLOCK ST, SAN FRANCISCO, CA, 94109",HEMLOCK ST,3,Lower Nob Hill,NORTHERN,37.787446083658,-122.418849640099,"(37.78744608, -122.41884964)",Mobile/Open311,
12045410,02/06/2020 07:15:01 AM,02/06/2020 07:22:00 AM,02/06/2020 07:22:00 AM,Closed,Case is Invalid - Yes they are filming The matrix 4- Project Ice cream.. https://www.sfgate.com/movies/article/Major-movie-film-SF-project-ice-cream-matrix-14996561.php,311 Supervisor Queue,Noise Report,Noise Issue,Other,"1369 FILBERT ST, SAN FRANCISCO, CA, 94109",FILBERT ST,2,Russian Hill,NORTHERN,37.799578062474,-122.422051406129,"(37.79957806, -122.42205141)",Mobile/Open311,
11978362,01/22/2020 11:09:00 AM,01/22/2020 03:30:58 PM,01/22/2020 03:30:58 PM,Closed,Case is Invalid - Requests related to the concern or well-being of individuals not in an encampment are not handled by 311.,HSOC Individual Queue,Noise Report,Noise Issue,Other,"255 9TH ST, SAN FRANCISCO, CA, 94103",9TH ST,6,South of Market,SOUTHERN,37.774365301946,-122.411971194451,"(37.7743653, -122.41197119)",Mobile/Open311,
11893200,01/03/2020 09:11:00 AM,01/04/2020 06:00:17 AM,01/04/2020 06:00:17 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"1431 30TH AVE, SAN FRANCISCO, CA, 94122",30TH AVE,4,Outer Sunset,TARAVAL,37.76054264,-122.48893596,"(37.76054264, -122.48893596)",Mobile/Open311,
11980761,01/22/2020 06:00:30 PM,01/22/2020 06:44:00 PM,01/22/2020 06:44:00 PM,Closed,Case is Invalid - please call sfpd at 415-553-0123 since this is a current situation,311 Supervisor Queue,Noise Report,Noise Issue,Other,"288 OLIVE ST, SAN FRANCISCO, CA, 94109",OLIVE ST,5,Cathedral Hill,NORTHERN,37.784195495805,-122.422394547726,"(37.7841955, -122.42239455)",Mobile/Open311,
12047092,02/06/2020 11:36:46 AM,02/06/2020 11:43:00 AM,02/06/2020 11:43:00 AM,Closed,Case Resolved - Report in-progress noise to Non-Emergency Police 415-553-0123,311 Supervisor Queue,Noise Report,Noise Issue,Other,"20 CEDAR ST, SAN FRANCISCO, CA, 94109",CEDAR ST,6,Lower Nob Hill,NORTHERN,37.786524202781,-122.418629526725,"(37.7865242, -122.41862953)",Mobile/Open311,
12050048,02/06/2020 10:40:41 PM,02/06/2020 11:08:00 PM,02/06/2020 11:08:00 PM,Closed,Case is Invalid - To report this type of noise please call sfpd non-emergency at 415-553-0123 while it is still in progress.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"188 COLLINS ST, SAN FRANCISCO, CA, 94118",COLLINS ST,2,Laurel Heights / Jordan Park,RICHMOND,37.782551329605,-122.449968456016,"(37.78255133, -122.44996846)",Mobile/Open311,
12050060,02/06/2020 10:49:51 PM,02/06/2020 11:08:00 PM,02/06/2020 11:08:00 PM,Closed,Case is Invalid - To report this type of noise please call sfpd non-emergency at 415-553-0123 while it is still in progress.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"277 TAYLOR ST, SAN FRANCISCO, CA, 94102",TAYLOR ST,6,Tenderloin,TENDERLOIN,37.784726637206,-122.411247763757,"(37.78472664, -122.41124776)",Mobile/Open311,
12050064,02/06/2020 10:54:45 PM,02/06/2020 11:08:00 PM,02/06/2020 11:08:00 PM,Closed,Case is Invalid - To report this type of noise please call sfpd non-emergency at 415-553-0123 while it is still in progress.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"256 TAYLOR ST, SAN FRANCISCO, CA, 94102",TAYLOR ST,6,Tenderloin,TENDERLOIN,37.78471090626,-122.411092136132,"(37.78471091, -122.41109214)",Mobile/Open311,
11991628,01/25/2020 12:21:05 AM,01/25/2020 12:25:00 AM,01/25/2020 12:25:00 AM,Closed,Case is Invalid - To report this type of noise please  call SFPD non-emergency at 415-553-0123.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"1624 LANE ST, SAN FRANCISCO, CA, 94124",LANE ST,10,Bayview,BAYVIEW,37.731954,-122.3900719,"(37.731954, -122.3900719)",Mobile/Open311,
11897563,01/04/2020 07:51:07 AM,01/05/2020 06:00:24 AM,01/05/2020 06:00:24 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"2346 CHESTNUT ST, SAN FRANCISCO, CA, 94123",CHESTNUT ST,2,Marina,NORTHERN,37.800205230713,-122.441932678223,"(37.80020523, -122.44193268)",Web,
11897744,01/04/2020 08:38:02 AM,01/04/2020 08:40:00 AM,01/04/2020 08:40:00 AM,Closed,Case Resolved - Need to contact SFPD.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"1092 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,6,South of Market,SOUTHERN,37.772592097665,-122.417187808792,"(37.7725921, -122.41718781)",Mobile/Open311,
